id,title,description,price,image_url,category,vibe_tags,rating,reviews_count,corpus,enhanced_corpus
1,Classic Tweed Blazer with Elbow Patches,"Academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit",5499,https://images.unsplash.com/photo-1594633313593-bab3825d0caf?q=80&w=600,blazers,"dark academia, scholarly, tweed, vintage, structured, brown",4.6,342,"Classic Tweed Blazer with Elbow Patches Academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit blazers dark academia, scholarly, tweed, vintage, structured, brown","classic tweed blazer with elbow patches academic-inspired wool tweed blazer in rich brown with leather elbow patches, structured fit dark academia, scholarly, tweed, vintage, structured, brown category: blazers premium luxury"
2,Pleated Wool Check Skirt,"High-waisted pleated skirt in burgundy and navy plaid pattern, midi length",3299,https://images.unsplash.com/photo-1595777457583-95e059d581b8?q=80&w=600,skirts,"dark academia, plaid, preppy, burgundy, structured, vintage",4.5,198,"Pleated Wool Check Skirt High-waisted pleated skirt in burgundy and navy plaid pattern, midi length skirts dark academia, plaid, preppy, burgundy, structured, vintage","pleated wool check skirt high-waisted pleated skirt in burgundy and navy plaid pattern, midi length dark academia, plaid, preppy, burgundy, structured, vintage category: skirts premium luxury"
3,Oxford Button-Down Shirt,"Crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar",2199,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?q=80&w=600,shirts,"dark academia, classic, oxford, preppy, white, structured",4.7,445,"Oxford Button-Down Shirt Crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar shirts dark academia, classic, oxford, preppy, white, structured","oxford button-down shirt crisp white cotton oxford shirt with mother-of-pearl buttons, classic collar dark academia, classic, oxford, preppy, white, structured category: shirts mid-range"
4,Vintage Cable Knit Vest,"Cream wool cable knit vest with V-neck, perfect for layering over shirts",2799,https://images.unsplash.com/photo-1576566588028-4147f3842f27?q=80&w=600,knitwear,"dark academia, cable knit, layering, cream, scholarly, vintage",4.4,267,"Vintage Cable Knit Vest Cream wool cable knit vest with V-neck, perfect for layering over shirts knitwear dark academia, cable knit, layering, cream, scholarly, vintage","vintage cable knit vest cream wool cable knit vest with v-neck, perfect for layering over shirts dark academia, cable knit, layering, cream, scholarly, vintage category: knitwear mid-range"
5,Black Turtleneck Sweater,"Fine merino wool turtleneck in classic black, slim fit with long sleeves",3599,https://images.unsplash.com/photo-1564257577817-30d6a7c82633?q=80&w=600,knitwear,"dark academia, minimalist, black, classic, wool, intellectual",4.8,523,"Black Turtleneck Sweater Fine merino wool turtleneck in classic black, slim fit with long sleeves knitwear dark academia, minimalist, black, classic, wool, intellectual","black turtleneck sweater fine merino wool turtleneck in classic black, slim fit with long sleeves dark academia, minimalist, black, classic, wool, intellectual category: knitwear premium luxury"
6,Brown Leather Oxford Shoes,Classic lace-up oxford shoes in rich brown leather with perforated details,7899,https://images.unsplash.com/photo-1549298916-b41d501d3772?q=80&w=600,shoes,"dark academia, oxford, leather, brown, classic, preppy",4.6,189,"Brown Leather Oxford Shoes Classic lace-up oxford shoes in rich brown leather with perforated details shoes dark academia, oxford, leather, brown, classic, preppy","brown leather oxford shoes classic lace-up oxford shoes in rich brown leather with perforated details dark academia, oxford, leather, brown, classic, preppy category: shoes premium luxury"
7,Burgundy Cardigan with Gold Buttons,"Wool cardigan in deep burgundy with vintage gold buttons, ribbed trim",4299,https://images.unsplash.com/photo-1571945153237-4929e783af4a?q=80&w=600,knitwear,"dark academia, burgundy, vintage, gold buttons, scholarly, warm",4.5,234,"Burgundy Cardigan with Gold Buttons Wool cardigan in deep burgundy with vintage gold buttons, ribbed trim knitwear dark academia, burgundy, vintage, gold buttons, scholarly, warm","burgundy cardigan with gold buttons wool cardigan in deep burgundy with vintage gold buttons, ribbed trim dark academia, burgundy, vintage, gold buttons, scholarly, warm category: knitwear premium luxury"
8,Navy Pinstripe Trench Coat,"Long navy trench coat with subtle pinstripes, double-breasted with belt",8999,https://images.unsplash.com/photo-1578662996442-48f60103fc96?q=80&w=600,coats,"dark academia, trench, navy, pinstripe, sophisticated, structured",4.7,156,"Navy Pinstripe Trench Coat Long navy trench coat with subtle pinstripes, double-breasted with belt coats dark academia, trench, navy, pinstripe, sophisticated, structured","navy pinstripe trench coat long navy trench coat with subtle pinstripes, double-breasted with belt dark academia, trench, navy, pinstripe, sophisticated, structured category: coats premium luxury"
9,Forest Green Corduroy Pants,High-waisted wide-leg corduroy trousers in deep forest green,3899,https://images.unsplash.com/photo-1594633312681-ca4c3e4e6a2f?q=80&w=600,pants,"dark academia, corduroy, forest green, vintage, wide leg, academic",4.3,298,"Forest Green Corduroy Pants High-waisted wide-leg corduroy trousers in deep forest green pants dark academia, corduroy, forest green, vintage, wide leg, academic","forest green corduroy pants high-waisted wide-leg corduroy trousers in deep forest green dark academia, corduroy, forest green, vintage, wide leg, academic category: pants premium luxury"
10,Vintage Leather Messenger Bag,Distressed brown leather messenger bag with brass hardware and adjustable strap,5699,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600,bags,"dark academia, leather, messenger, vintage, brown, academic",4.8,412,"Vintage Leather Messenger Bag Distressed brown leather messenger bag with brass hardware and adjustable strap bags dark academia, leather, messenger, vintage, brown, academic","vintage leather messenger bag distressed brown leather messenger bag with brass hardware and adjustable strap dark academia, leather, messenger, vintage, brown, academic category: bags premium luxury"
11,Floral Smocked Midi Dress,Flowing midi dress with hand-smocked bodice and delicate rose print on cream background,4599,https://images.unsplash.com/photo-1595777457583-95e059d581b8?q=80&w=600,dresses,"cottagecore, smocked, floral, cream, romantic, flowing, roses",4.7,324,"Floral Smocked Midi Dress Flowing midi dress with hand-smocked bodice and delicate rose print on cream background dresses cottagecore, smocked, floral, cream, romantic, flowing, roses","floral smocked midi dress flowing midi dress with hand-smocked bodice and delicate rose print on cream background cottagecore, smocked, floral, cream, romantic, flowing, roses category: dresses premium luxury"
12,Puff Sleeve Linen Blouse,Soft white linen blouse with romantic puff sleeves and mother-of-pearl buttons,2899,https://images.unsplash.com/photo-1581044777550-4cfa60707c03?q=80&w=600,blouses,"cottagecore, puff sleeves, linen, white, romantic, feminine, flowing",4.5,267,"Puff Sleeve Linen Blouse Soft white linen blouse with romantic puff sleeves and mother-of-pearl buttons blouses cottagecore, puff sleeves, linen, white, romantic, feminine, flowing","puff sleeve linen blouse soft white linen blouse with romantic puff sleeves and mother-of-pearl buttons cottagecore, puff sleeves, linen, white, romantic, feminine, flowing category: blouses mid-range"
13,Gingham Check Sundress,Sweet A-line sundress in sage green gingham with sweetheart neckline and ties,3199,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?q=80&w=600,dresses,"cottagecore, gingham, sage green, sundress, sweet, vintage, check",4.6,189,"Gingham Check Sundress Sweet A-line sundress in sage green gingham with sweetheart neckline and ties dresses cottagecore, gingham, sage green, sundress, sweet, vintage, check","gingham check sundress sweet a-line sundress in sage green gingham with sweetheart neckline and ties cottagecore, gingham, sage green, sundress, sweet, vintage, check category: dresses premium luxury"
14,Ruffled Prairie Dress,Long flowing dress with tiered ruffles and lace trim in dusty pink,4899,https://images.unsplash.com/photo-1566479179817-b0a2a99d7e49?q=80&w=600,dresses,"cottagecore, prairie, ruffles, dusty pink, romantic, flowing, lace",4.8,445,"Ruffled Prairie Dress Long flowing dress with tiered ruffles and lace trim in dusty pink dresses cottagecore, prairie, ruffles, dusty pink, romantic, flowing, lace","ruffled prairie dress long flowing dress with tiered ruffles and lace trim in dusty pink cottagecore, prairie, ruffles, dusty pink, romantic, flowing, lace category: dresses premium luxury"
15,Embroidered Peasant Top,Cream cotton peasant top with delicate blue and pink floral embroidery,2599,https://images.unsplash.com/photo-1564257577817-30d6a7c82633?q=80&w=600,tops,"cottagecore, embroidered, peasant, cream, floral, romantic, handmade",4.4,298,"Embroidered Peasant Top Cream cotton peasant top with delicate blue and pink floral embroidery tops cottagecore, embroidered, peasant, cream, floral, romantic, handmade","embroidered peasant top cream cotton peasant top with delicate blue and pink floral embroidery cottagecore, embroidered, peasant, cream, floral, romantic, handmade category: tops mid-range"
16,Flowy Maxi Skirt with Florals,Chiffon maxi skirt in sage green with watercolor floral print,3799,https://images.unsplash.com/photo-1583496661160-fb5886a13c4e?q=80&w=600,skirts,"cottagecore, maxi, flowy, sage green, florals, chiffon, romantic",4.3,156,"Flowy Maxi Skirt with Florals Chiffon maxi skirt in sage green with watercolor floral print skirts cottagecore, maxi, flowy, sage green, florals, chiffon, romantic","flowy maxi skirt with florals chiffon maxi skirt in sage green with watercolor floral print cottagecore, maxi, flowy, sage green, florals, chiffon, romantic category: skirts premium luxury"
17,Vintage-Style Cardigan in Rose,Soft pink wool cardigan with pearl buttons and ribbed edges,3899,https://images.unsplash.com/photo-1571945153237-4929e783af4a?q=80&w=600,knitwear,"cottagecore, rose pink, vintage, pearl buttons, soft, romantic",4.7,234,"Vintage-Style Cardigan in Rose Soft pink wool cardigan with pearl buttons and ribbed edges knitwear cottagecore, rose pink, vintage, pearl buttons, soft, romantic","vintage-style cardigan in rose soft pink wool cardigan with pearl buttons and ribbed edges cottagecore, rose pink, vintage, pearl buttons, soft, romantic category: knitwear premium luxury"
18,Lace-Trimmed Camisole,Delicate ivory silk camisole with scalloped lace trim and adjustable straps,2199,https://images.unsplash.com/photo-1581044777550-4cfa60707c03?q=80&w=600,tops,"cottagecore, lace, ivory, silk, delicate, feminine, romantic",4.5,178,"Lace-Trimmed Camisole Delicate ivory silk camisole with scalloped lace trim and adjustable straps tops cottagecore, lace, ivory, silk, delicate, feminine, romantic","lace-trimmed camisole delicate ivory silk camisole with scalloped lace trim and adjustable straps cottagecore, lace, ivory, silk, delicate, feminine, romantic category: tops mid-range"
19,Straw Sun Hat with Ribbon,Wide-brim straw hat with sage green velvet ribbon and bow,1899,https://images.unsplash.com/photo-1521119989659-a83eee488004?q=80&w=600,accessories,"cottagecore, straw hat, sage green, ribbon, sun hat, vintage, whimsical",4.6,267,"Straw Sun Hat with Ribbon Wide-brim straw hat with sage green velvet ribbon and bow accessories cottagecore, straw hat, sage green, ribbon, sun hat, vintage, whimsical","straw sun hat with ribbon wide-brim straw hat with sage green velvet ribbon and bow cottagecore, straw hat, sage green, ribbon, sun hat, vintage, whimsical category: accessories mid-range"
20,Wicker Basket Bag,Natural wicker basket bag with leather handles and gingham lining,2499,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600,bags,"cottagecore, wicker, basket, natural, gingham lining, vintage, handmade",4.4,189,"Wicker Basket Bag Natural wicker basket bag with leather handles and gingham lining bags cottagecore, wicker, basket, natural, gingham lining, vintage, handmade","wicker basket bag natural wicker basket bag with leather handles and gingham lining cottagecore, wicker, basket, natural, gingham lining, vintage, handmade category: bags mid-range"
21,Black Faux Leather Jacket,Oversized black faux leather moto jacket with silver zippers and buckles,4599,https://images.unsplash.com/photo-1551537482-f2075a1d41f2?q=80&w=600,jackets,"grunge, black leather, oversized, moto, edgy, 90s, alternative",4.7,398,"Black Faux Leather Jacket Oversized black faux leather moto jacket with silver zippers and buckles jackets grunge, black leather, oversized, moto, edgy, 90s, alternative","black faux leather jacket oversized black faux leather moto jacket with silver zippers and buckles grunge, black leather, oversized, moto, edgy, 90s, alternative category: jackets premium luxury"
22,Ripped Black Skinny Jeans,Distressed black denim with strategic rips and faded wash,3299,https://images.unsplash.com/photo-1603189343382-0c5d2a2c3fe6?q=80&w=600,jeans,"grunge, ripped, black denim, distressed, 90s, alternative, edgy",4.5,445,"Ripped Black Skinny Jeans Distressed black denim with strategic rips and faded wash jeans grunge, ripped, black denim, distressed, 90s, alternative, edgy","ripped black skinny jeans distressed black denim with strategic rips and faded wash grunge, ripped, black denim, distressed, 90s, alternative, edgy category: jeans premium luxury"
23,Band Graphic Tee - Vintage Wash,Oversized vintage-wash graphic tee featuring iconic rock band logo,1899,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=600,t-shirts,"grunge, band tee, vintage wash, oversized, rock, 90s, alternative",4.6,567,"Band Graphic Tee - Vintage Wash Oversized vintage-wash graphic tee featuring iconic rock band logo t-shirts grunge, band tee, vintage wash, oversized, rock, 90s, alternative","band graphic tee - vintage wash oversized vintage-wash graphic tee featuring iconic rock band logo grunge, band tee, vintage wash, oversized, rock, 90s, alternative category: t-shirts mid-range"
24,Plaid Flannel Shirt - Red and Black,"Classic red and black buffalo plaid flannel shirt, oversized fit",2799,https://images.unsplash.com/photo-1578662996442-48f60103fc96?q=80&w=600,shirts,"grunge, flannel, plaid, red black, oversized, 90s, alternative",4.4,324,"Plaid Flannel Shirt - Red and Black Classic red and black buffalo plaid flannel shirt, oversized fit shirts grunge, flannel, plaid, red black, oversized, 90s, alternative","plaid flannel shirt - red and black classic red and black buffalo plaid flannel shirt, oversized fit grunge, flannel, plaid, red black, oversized, 90s, alternative category: shirts mid-range"
25,Platform Combat Boots,Black leather combat boots with chunky platform sole and laces,6299,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?q=80&w=600,shoes,"grunge, combat boots, platform, black leather, chunky, alternative, 90s",4.8,289,"Platform Combat Boots Black leather combat boots with chunky platform sole and laces shoes grunge, combat boots, platform, black leather, chunky, alternative, 90s","platform combat boots black leather combat boots with chunky platform sole and laces grunge, combat boots, platform, black leather, chunky, alternative, 90s category: shoes premium luxury"
26,Choker Necklace Set,Black velvet and silver spike choker necklace set of 3,899,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?q=80&w=600,accessories,"grunge, choker, black velvet, spikes, 90s, alternative, edgy",4.3,167,"Choker Necklace Set Black velvet and silver spike choker necklace set of 3 accessories grunge, choker, black velvet, spikes, 90s, alternative, edgy","choker necklace set black velvet and silver spike choker necklace set of 3 grunge, choker, black velvet, spikes, 90s, alternative, edgy category: accessories affordable budget-friendly"
27,Distressed Denim Vest,Light wash denim vest with frayed edges and vintage patches,2199,https://images.unsplash.com/photo-1551537482-f2075a1d41f2?q=80&w=600,vests,"grunge, denim vest, distressed, patches, light wash, 90s, alternative",4.5,203,"Distressed Denim Vest Light wash denim vest with frayed edges and vintage patches vests grunge, denim vest, distressed, patches, light wash, 90s, alternative","distressed denim vest light wash denim vest with frayed edges and vintage patches grunge, denim vest, distressed, patches, light wash, 90s, alternative category: vests mid-range"
28,Black Mesh Top,Sheer black mesh long-sleeve top perfect for layering,1599,https://images.unsplash.com/photo-1564257577817-30d6a7c82633?q=80&w=600,tops,"grunge, mesh, black, sheer, layering, edgy, alternative",4.2,156,"Black Mesh Top Sheer black mesh long-sleeve top perfect for layering tops grunge, mesh, black, sheer, layering, edgy, alternative","black mesh top sheer black mesh long-sleeve top perfect for layering grunge, mesh, black, sheer, layering, edgy, alternative category: tops mid-range"
29,Silver Chain Belt,Chunky silver chain belt with gothic hardware details,2299,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?q=80&w=600,accessories,"grunge, chain belt, silver, gothic, chunky, alternative, edgy",4.4,134,"Silver Chain Belt Chunky silver chain belt with gothic hardware details accessories grunge, chain belt, silver, gothic, chunky, alternative, edgy","silver chain belt chunky silver chain belt with gothic hardware details grunge, chain belt, silver, gothic, chunky, alternative, edgy category: accessories mid-range"
30,Oversized Hoodie - Charcoal,Vintage-style oversized hoodie in charcoal grey with distressed details,3199,https://images.unsplash.com/photo-1556821840-3a63f95609a7?q=80&w=600,hoodies,"grunge, oversized hoodie, charcoal, vintage, distressed, 90s, alternative",4.6,378,"Oversized Hoodie - Charcoal Vintage-style oversized hoodie in charcoal grey with distressed details hoodies grunge, oversized hoodie, charcoal, vintage, distressed, 90s, alternative","oversized hoodie - charcoal vintage-style oversized hoodie in charcoal grey with distressed details grunge, oversized hoodie, charcoal, vintage, distressed, 90s, alternative category: hoodies premium luxury"
31,Y2K Butterfly Top,Sparkly mesh top with holographic butterfly print and long sleeves,2299,https://images.unsplash.com/photo-1564257577817-30d6a7c82633?q=80&w=600,tops,"Y2K, butterfly, sparkly, mesh, holographic, 2000s, futuristic",4.5,298,"Y2K Butterfly Top Sparkly mesh top with holographic butterfly print and long sleeves tops Y2K, butterfly, sparkly, mesh, holographic, 2000s, futuristic","y2k butterfly top sparkly mesh top with holographic butterfly print and long sleeves y2k, butterfly, sparkly, mesh, holographic, 2000s, futuristic category: tops mid-range"
32,Low-Rise Cargo Pants,Olive green cargo pants with multiple pockets and low-rise waist,3599,https://images.unsplash.com/photo-1594633312681-ca4c3e4e6a2f?q=80&w=600,pants,"Y2K, cargo, low-rise, olive green, utility, 2000s, streetwear",4.4,256,"Low-Rise Cargo Pants Olive green cargo pants with multiple pockets and low-rise waist pants Y2K, cargo, low-rise, olive green, utility, 2000s, streetwear","low-rise cargo pants olive green cargo pants with multiple pockets and low-rise waist y2k, cargo, low-rise, olive green, utility, 2000s, streetwear category: pants premium luxury"
33,Metallic Mini Skirt,Silver metallic pleated mini skirt with holographic finish,2799,https://images.unsplash.com/photo-1583496661160-fb5886a13c4e?q=80&w=600,skirts,"Y2K, metallic, silver, mini skirt, holographic, futuristic, 2000s",4.6,189,"Metallic Mini Skirt Silver metallic pleated mini skirt with holographic finish skirts Y2K, metallic, silver, mini skirt, holographic, futuristic, 2000s","metallic mini skirt silver metallic pleated mini skirt with holographic finish y2k, metallic, silver, mini skirt, holographic, futuristic, 2000s category: skirts mid-range"
34,Chunky Platform Sneakers,White and silver chunky platform sneakers with iridescent details,5299,https://images.unsplash.com/photo-1549298916-b41d501d3772?q=80&w=600,shoes,"Y2K, platform sneakers, chunky, white silver, iridescent, 2000s",4.7,423,"Chunky Platform Sneakers White and silver chunky platform sneakers with iridescent details shoes Y2K, platform sneakers, chunky, white silver, iridescent, 2000s","chunky platform sneakers white and silver chunky platform sneakers with iridescent details y2k, platform sneakers, chunky, white silver, iridescent, 2000s category: shoes premium luxury"
35,Rhinestone Baby Tee,Pink fitted crop tee with rhinestone heart design and short sleeves,1899,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=600,t-shirts,"Y2K, baby tee, rhinestone, pink, crop top, fitted, 2000s",4.3,234,"Rhinestone Baby Tee Pink fitted crop tee with rhinestone heart design and short sleeves t-shirts Y2K, baby tee, rhinestone, pink, crop top, fitted, 2000s","rhinestone baby tee pink fitted crop tee with rhinestone heart design and short sleeves y2k, baby tee, rhinestone, pink, crop top, fitted, 2000s category: t-shirts mid-range"
36,Iridescent Bucket Hat,Holographic bucket hat that shifts colors in different light,1599,https://images.unsplash.com/photo-1521119989659-a83eee488004?q=80&w=600,accessories,"Y2K, bucket hat, iridescent, holographic, futuristic, 2000s",4.2,167,"Iridescent Bucket Hat Holographic bucket hat that shifts colors in different light accessories Y2K, bucket hat, iridescent, holographic, futuristic, 2000s","iridescent bucket hat holographic bucket hat that shifts colors in different light y2k, bucket hat, iridescent, holographic, futuristic, 2000s category: accessories mid-range"
37,Chain-Link Purse,Silver chain-mail mini purse with magnetic closure,3299,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?q=80&w=600,bags,"Y2K, chain purse, silver, mini bag, futuristic, 2000s, metallic",4.5,145,"Chain-Link Purse Silver chain-mail mini purse with magnetic closure bags Y2K, chain purse, silver, mini bag, futuristic, 2000s, metallic","chain-link purse silver chain-mail mini purse with magnetic closure y2k, chain purse, silver, mini bag, futuristic, 2000s, metallic category: bags premium luxury"
38,Velour Tracksuit Set,Lavender velour zip-up hoodie and matching pants set,4599,https://images.unsplash.com/photo-1556821840-3a63f95609a7?q=80&w=600,sets,"Y2K, velour, tracksuit, lavender, matching set, 2000s, casual",4.4,298,"Velour Tracksuit Set Lavender velour zip-up hoodie and matching pants set sets Y2K, velour, tracksuit, lavender, matching set, 2000s, casual","velour tracksuit set lavender velour zip-up hoodie and matching pants set y2k, velour, tracksuit, lavender, matching set, 2000s, casual category: sets premium luxury"
39,Tinted Sunglasses - Rectangle,Small rectangular tinted sunglasses with colored lenses,999,https://images.unsplash.com/photo-1511499767150-a48a237f0083?q=80&w=600,accessories,"Y2K, sunglasses, rectangular, tinted, small, 2000s, futuristic",4.1,189,"Tinted Sunglasses - Rectangle Small rectangular tinted sunglasses with colored lenses accessories Y2K, sunglasses, rectangular, tinted, small, 2000s, futuristic","tinted sunglasses - rectangle small rectangular tinted sunglasses with colored lenses y2k, sunglasses, rectangular, tinted, small, 2000s, futuristic category: accessories affordable budget-friendly"
40,Cyber Goth Platform Boots,Black platform boots with neon green LED strips and buckles,7899,https://images.unsplash.com/photo-1544966503-7cc5ac882d5f?q=80&w=600,shoes,"Y2K, cyber goth, platform boots, LED, neon green, futuristic, 2000s",4.8,178,"Cyber Goth Platform Boots Black platform boots with neon green LED strips and buckles shoes Y2K, cyber goth, platform boots, LED, neon green, futuristic, 2000s","cyber goth platform boots black platform boots with neon green led strips and buckles y2k, cyber goth, platform boots, led, neon green, futuristic, 2000s category: shoes premium luxury"
41,White Cotton Oversized Tee,Minimalist oversized white cotton t-shirt with clean lines,1599,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?q=80&w=600,t-shirts,"minimalist, white, oversized, cotton, clean lines, basic, simple",4.7,567,"White Cotton Oversized Tee Minimalist oversized white cotton t-shirt with clean lines t-shirts minimalist, white, oversized, cotton, clean lines, basic, simple","white cotton oversized tee minimalist oversized white cotton t-shirt with clean lines minimalist, white, oversized, cotton, clean lines, basic, simple category: t-shirts mid-range"
42,Black Wide-Leg Trousers,High-waisted wide-leg trousers in black crepe with pressed seams,4299,https://images.unsplash.com/photo-1594633312681-ca4c3e4e6a2f?q=80&w=600,pants,"minimalist, black, wide-leg, crepe, pressed seams, tailored, clean",4.6,345,"Black Wide-Leg Trousers High-waisted wide-leg trousers in black crepe with pressed seams pants minimalist, black, wide-leg, crepe, pressed seams, tailored, clean","black wide-leg trousers high-waisted wide-leg trousers in black crepe with pressed seams minimalist, black, wide-leg, crepe, pressed seams, tailored, clean category: pants premium luxury"
43,Beige Cashmere Sweater,Luxurious beige cashmere crew neck sweater with ribbed trim,6799,https://images.unsplash.com/photo-1576566588028-4147f3842f27?q=80&w=600,knitwear,"minimalist, beige, cashmere, crew neck, luxury, soft, neutral",4.8,423,"Beige Cashmere Sweater Luxurious beige cashmere crew neck sweater with ribbed trim knitwear minimalist, beige, cashmere, crew neck, luxury, soft, neutral","beige cashmere sweater luxurious beige cashmere crew neck sweater with ribbed trim minimalist, beige, cashmere, crew neck, luxury, soft, neutral category: knitwear premium luxury"
44,Structured Blazer - Navy,Tailored navy blazer with clean lines and minimal button details,5999,https://images.unsplash.com/photo-1594633313593-bab3825d0caf?q=80&w=600,blazers,"minimalist, navy, structured, tailored, clean lines, professional",4.5,289,"Structured Blazer - Navy Tailored navy blazer with clean lines and minimal button details blazers minimalist, navy, structured, tailored, clean lines, professional","structured blazer - navy tailored navy blazer with clean lines and minimal button details minimalist, navy, structured, tailored, clean lines, professional category: blazers premium luxury"
45,White Leather Sneakers,Clean white leather sneakers with minimal branding,4599,https://images.unsplash.com/photo-1549298916-b41d501d3772?q=80&w=600,shoes,"minimalist, white leather, sneakers, clean, minimal branding, simple",4.7,634,"White Leather Sneakers Clean white leather sneakers with minimal branding shoes minimalist, white leather, sneakers, clean, minimal branding, simple","white leather sneakers clean white leather sneakers with minimal branding minimalist, white leather, sneakers, clean, minimal branding, simple category: shoes premium luxury"
46,Black Slip Dress,Silk slip dress in black with adjustable straps and midi length,3899,https://images.unsplash.com/photo-1566479179817-b0a2a99d7e49?q=80&w=600,dresses,"minimalist, slip dress, black silk, adjustable straps, midi, elegant",4.6,267,"Black Slip Dress Silk slip dress in black with adjustable straps and midi length dresses minimalist, slip dress, black silk, adjustable straps, midi, elegant","black slip dress silk slip dress in black with adjustable straps and midi length minimalist, slip dress, black silk, adjustable straps, midi, elegant category: dresses premium luxury"
47,Grey Wool Coat,Long grey wool coat with clean silhouette and hidden buttons,8999,https://images.unsplash.com/photo-1578662996442-48f60103fc96?q=80&w=600,coats,"minimalist, grey wool, long coat, clean silhouette, hidden buttons",4.4,156,"Grey Wool Coat Long grey wool coat with clean silhouette and hidden buttons coats minimalist, grey wool, long coat, clean silhouette, hidden buttons","grey wool coat long grey wool coat with clean silhouette and hidden buttons minimalist, grey wool, long coat, clean silhouette, hidden buttons category: coats premium luxury"
48,White Button-Down Shirt,Crisp white cotton button-down with minimal detailing,2799,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?q=80&w=600,shirts,"minimalist, white, button-down, cotton, crisp, minimal, classic",4.8,445,"White Button-Down Shirt Crisp white cotton button-down with minimal detailing shirts minimalist, white, button-down, cotton, crisp, minimal, classic","white button-down shirt crisp white cotton button-down with minimal detailing minimalist, white, button-down, cotton, crisp, minimal, classic category: shirts mid-range"
49,Black Straight-Leg Jeans,High-waisted black straight-leg jeans with no distressing,3599,https://images.unsplash.com/photo-1603189343382-0c5d2a2c3fe6?q=80&w=600,jeans,"minimalist, black jeans, straight-leg, high-waisted, no distressing, clean",4.5,389,"Black Straight-Leg Jeans High-waisted black straight-leg jeans with no distressing jeans minimalist, black jeans, straight-leg, high-waisted, no distressing, clean","black straight-leg jeans high-waisted black straight-leg jeans with no distressing minimalist, black jeans, straight-leg, high-waisted, no distressing, clean category: jeans premium luxury"
